Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference,Category
31/10/2025,TESCO STORE 3482 3482TE LONDON,9.30,,TESCO STORE 3482 3482TE LONDON,8-9 BRIDGE STREET,LONDON,SW1A 2JR,UNITED KINGDOM OF GB AND NI,'AT253050038000011247501',General Purchases-Groceries
31/10/2025,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.60,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT253050038000011281545',Travel-Other Travel
31/10/2025,TOKLAS                  LONDON,5.00,,TOKLAS                  LONDON,SURREY STREET1,LONDON,WC2R 2ND,UNITED KINGDOM OF GB AND NI,'AT253050038000011253465',Entertainment-Restaurants
31/10/2025,TOKLAS                  LONDON,30.00,,TOKLAS                  LONDON,SURREY STREET1,LONDON,WC2R 2ND,UNITED KINGDOM OF GB AND NI,'AT253050038000011253434',Entertainment-Restaurants
30/10/2025,PAYMENT RECEIVED - THANK YOU,-4000.00,,PAYMENT RECEIVED - THANK YOU,,,,,'AT253040001000010050308',
30/10/2025,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,2.80,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT253040047000011322574',Travel-Other Travel
30/10/2025,THE IVY MARKET GRILL    LONDON,64.01,,THE IVY MARKET GRILL    LONDON,1A HENRIETTA STREET COVENT GARDEN COVENT GARDEN,LONDON,WC2E 8PS,UNITED KINGDOM OF GB AND NI,'AT253040047000011376243',Entertainment-Restaurants
30/10/2025,UNIQLO EUROPE LTD       LONDON,224.40,,UNIQLO EUROPE LTD       LONDON,103-113 REGENT STREET LONDON,LONDON,W1B 4HL,UNITED KINGDOM OF GB AND NI,'AT253040047000011324227',General Purchases-Clothing Stores
29/10/2025,EXPEDIA 72067753629763  EXPEDIA.CO.UK,217.29,,EXPEDIA 72067753629763  EXPEDIA.CO.UK,"CALLE VILLALBA HERVAS 9 PLANTA 8
EFICICIO CAMACHO",LONDON,AA00 0AA,UNITED KINGDOM OF GB AND NI,'AT253030046000011222430',Travel-Travel Agencies
29/10/2025,TRAINLINE Trainline     LONDON,93.30,,TRAINLINE Trainline     LONDON,120 HOLBORN,LONDON,EC1N 2TD,UNITED KINGDOM OF GB AND NI,'AT253030046000011223578',Travel-Rail Services
28/10/2025,MCDONALDS (1002)        HAVERFORDWEST,20.79,GOODS,MCDONALDS (1002)        HAVERFORDWEST,CARADOCS WELL ROAD MERLINS BRIDGE,HAVERFORDWEST,SA61 1XJ,UNITED KINGDOM OF GB AND NI,'AT253020046000011222441',Entertainment-Bars & Cafés
27/10/2025,AVIS RENT A CAR M/20571 MIAMI,86.34,Foreign Spend Amount: 111.56 UNITED STATES DOLLAR Commission Amount: 2.51 Currency Exchange Rate: 1.3307,AVIS RENT A CAR M/20571 MIAMI,"SEND ALL MAIL TO
CORRFIN ADDRESS",GARDEN CITY,11530,UNITED STATES,'AT253010045000011150697',Travel-Vehicle Rental
24/10/2025,AVIANCA LIFEMILES       SAN JOSE,237.86,"TICKET NUMBER:  :                       PASSENGER NAME:
Foreign Spend Amount: 306.95 UNITED STATES DOLLAR Commission Amount: 6.91 Currency Exchange Rate: 1.329",AVIANCA LIFEMILES       SAN JOSE,SAN JOSE.,SAN JOSE,,COSTA RICA,'AT253000046000011190746',Travel-Airline
24/10/2025,EXPEDIA 72067467090900  EXPEDIA.CO.UK,151.20,,EXPEDIA 72067467090900  EXPEDIA.CO.UK,"CALLE VILLALBA HERVAS 9 PLANTA 8
EFICICIO CAMACHO",LONDON,AA00 0AA,UNITED KINGDOM OF GB AND NI,'AT252980037000011291887',Travel-Travel Agencies
23/10/2025,GLOBALE*/LOGITECH       LONDON,-157.98,,GLOBALE*/LOGITECH       LONDON,154 CLERKENWELL ROAD,LONDON,EC1R 5AB,UNITED KINGDOM OF GB AND NI,'AT252970046000011317987',General Purchases-Online Purchases
21/10/2025,COVERFORYOU             STEVENAGE,104.76,,COVERFORYOU             STEVENAGE,"3 KINGS COURT LONDON RO
SUITE 5 FLOOR",STEVENAGE,SG1,UNITED KINGDOM OF GB AND NI,'AT252940044000011150537',Business Services-Insurance Services
20/10/2025,AMZNMKTPLACE*A09RY8PW5  AMAZON.CO.UK,17.99,,AMZNMKTPLACE*A09RY8PW5  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252940044000011139400',General Purchases-Online Purchases
20/10/2025,LYCAMOBILE              LONDON,30.05,,LYCAMOBILE              LONDON,195 MARSH WALL 3RD FLOOR,LONDON,E14 9SG,UNITED KINGDOM OF GB AND NI,'AT252930047000011107266',Communications-Mobile Telecommunication
19/10/2025,AMAZON.CO.UK*NG6989YB5  AMAZON.CO.UK,79.00,,AMAZON.CO.UK*NG6989YB5  AMAZON.CO.UK,60 HOLBORN VIADUCT,LONDON,EC1A 2FD,UNITED KINGDOM OF GB AND NI,'AT252930075000010075833',General Purchases-Online Purchases
19/10/2025,AMAZON.CO.UK*OJ6XX7995  AMAZON.CO.UK,17.66,,AMAZON.CO.UK*OJ6XX7995  AMAZON.CO.UK,60 HOLBORN VIADUCT,LONDON,EC1A 2FD,UNITED KINGDOM OF GB AND NI,'AT252930047000011157778',General Purchases-Online Purchases
19/10/2025,AVIS CENTRAL MIAMI INTL 74169,225.24,,AVIS CENTRAL MIAMI INTL 74169,AVIS BUDGET HOUSE,BRACKNELL,RG12 2EW,UNITED KINGDOM OF GB AND NI,'AT252930047000011108682',Travel-Vehicle Rental
19/10/2025,LIFEMILES COM CUR AX    SAN JOSE,9.22,"TICKET NUMBER:  :                       PASSENGER NAME:
Foreign Spend Amount: 12.00 UNITED STATES DOLLAR Commission Amount: 0.27 Currency Exchange Rate: 1.3407",LIFEMILES COM CUR AX    SAN JOSE,"""CASA MATRIZ,SAN JOSE.SAN JOSE""",SAN JOSE,,COSTA RICA,'AT252940044000011136141',Travel-Airline
19/10/2025,TRAINLINE Trainline     LONDON,10.00,,TRAINLINE Trainline     LONDON,120 HOLBORN,LONDON,EC1N 2TD,UNITED KINGDOM OF GB AND NI,'AT252930047000011142168',Travel-Rail Services
19/10/2025,TRAINLINE Trainline     LONDON,20.89,,TRAINLINE Trainline     LONDON,120 HOLBORN,LONDON,EC1N 2TD,UNITED KINGDOM OF GB AND NI,'AT252930047000011142166',Travel-Rail Services
18/10/2025,AMZNMKTPLACE*N29CB5UE5  AMAZON.CO.UK,30.97,,AMZNMKTPLACE*N29CB5UE5  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252920039000011462833',General Purchases-Online Purchases
18/10/2025,AMZNMKTPLACE*T327H1FX5  AMAZON.CO.UK,190.51,,AMZNMKTPLACE*T327H1FX5  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252920039000011462182',General Purchases-Online Purchases
18/10/2025,PADDLE.NET* MAGICPAGES  LONDON,5.52,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT252910037000011337971',General Purchases-Computer Supplies
18/10/2025,TRAINLINE Trainline     LONDON,27.48,,TRAINLINE Trainline     LONDON,120 HOLBORN,LONDON,EC1N 2TD,UNITED KINGDOM OF GB AND NI,'AT252910037000011345840',Travel-Rail Services
18/10/2025,UBER TRIP               HTTPS://HELP.UB,5.00,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT252920039000011414163',Travel-Taxis & Coach
18/10/2025,UBER TRIP               HTTPS://HELP.UB,25.76,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT252910037000011349438',Travel-Taxis & Coach
18/10/2025,W H SMITH EUROPE TRAVEL CARDIFF,25.53,GOODS,W H SMITH EUROPE TRAVEL CARDIFF,"BOOKSTALL NO 1
CENTRAL RAILWAY STATION",CARDIFF,CF1 5QY,UNITED KINGDOM OF GB AND NI,'AT252920039000011481715',Business Services-Office Supplies
17/10/2025,INTERCITYHOTEL ENSCHEDE ENSCHEDE,133.10,"Foreign Spend Amount: 148,55 EUROPEAN UNION EURO Commission Amount: 3.86 Currency Exchange Rate: 1.1494",INTERCITYHOTEL ENSCHEDE ENSCHEDE,"WILLEM WILMINKPLEIN
5",ENSCHEDE,7511 PG,NETHERLANDS,'AT252910037000011319837',Travel-Lodging
15/10/2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,-150.00,,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,731 SANSOME ST,SAN FRANCISCO,94111,UNITED STATES,'AT252890044000011129887',General Purchases-Computer Supplies
15/10/2025,MICROSOFT               MSBILL.INFO,14.99,,MICROSOFT               MSBILL.INFO,"MICROSOFT CAMPUS
THAMES VALLEY PARK
BERKSHIRE",READING,RG6 1WG,UNITED KINGDOM OF GB AND NI,'AT252880045000011195775',General Purchases-Online Purchases
14/10/2025,3CPAYMENT*EUROPCAR BRIS BRISTOL,64.50,,3CPAYMENT*EUROPCAR BRIS BRISTOL,1 GREAT CENTRAL SQUARE,LEICESTER,LE1 4JS,UNITED KINGDOM OF GB AND NI,'AT252880045000011173898',Travel-Vehicle Rental
14/10/2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,150.00,,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,731 SANSOME ST,SAN FRANCISCO,94111,UNITED STATES,'AT252880045000011189802',General Purchases-Computer Supplies
13/10/2025,AUDIBLE UK              ADBL.CO/PYMT,8.99,,AUDIBLE UK              ADBL.CO/PYMT,500 CHISWICK HIGH ROAD,LONDON,W4 5RG,UNITED KINGDOM OF GB AND NI,'AT252860095000010126319',General Purchases-Online Purchases
13/10/2025,BRIDGWATER ROAD SERVICE BRISTOL,46.95,BP BRIDGWATER ROAD                      DUNDRY,BRIDGWATER ROAD SERVICE BRISTOL,BRIDGEWATER ROAD,BRISTOL,BS41 8JP,UNITED KINGDOM OF GB AND NI,'AT252870048000011129776',General Purchases-Fuel
13/10/2025,EASYJET                 LUTON,205.55,"ROUTING:    FROM:     BRISTOL
TO:       AMSTERDAM         CARRIER:        U2  CLASS:          Y
TO:       BRISTOL           CARRIER:        U2  CLASS:          Y
TICKET NUMBER:  KBDCDSS                 PASSENGER NAME: PHILLIP LINDLEY",EASYJET                 LUTON,HANGER 89 LONDON LUTON AIRPORT,LUTON,LU2 9PF,UNITED KINGDOM OF GB AND NI,'AT252860065000011165735',Travel-Airline
13/10/2025,EASYJET AIRLINE COMPANY LUTON,249.00,,EASYJET AIRLINE COMPANY LUTON,HANGER 89 LUTON AIRPORT,LUTON,LU2 9PF,UNITED KINGDOM OF GB AND NI,'AT252860065000011169302',Travel-Travel Related
13/10/2025,KLM                     NORWICH,150.00,TICKET NUMBER:  07441254683995          PASSENGER NAME: RAMIREZ RODRIGUEZ/LAURA,KLM                     NORWICH,GBP SUBMISSIONS,UK,XX0 0XX,UNITED KINGDOM OF GB AND NI,'AT252880045000011167845',Travel-Airline
13/10/2025,KLM                     NORWICH,358.80,"ROUTING:    FROM:     PARIS CHARLES DE G
TO:       MEXICO CITY BENITOCARRIER:        AF  CLASS:          Q
TICKET NUMBER:  07421297882902          PASSENGER NAME: RAMIREZ RODRIGUEZ/LAURA",KLM                     NORWICH,GBP SUBMISSIONS,UK,XX0 0XX,UNITED KINGDOM OF GB AND NI,'AT252880045000011167844',Travel-Airline
13/10/2025,SERVY UK* BRIGANDSTOW   LONDON,28.59,,SERVY UK* BRIGANDSTOW   LONDON,"""6TH FLOOR, 9 APPOLD STREET""",LONDON,EC2A,UNITED KINGDOM OF GB AND NI,'AT252860065000011179302',Entertainment-Restaurants
13/10/2025,TRAINLINE Trainline     LONDON,27.44,,TRAINLINE Trainline     LONDON,120 HOLBORN,LONDON,EC1N 2TD,UNITED KINGDOM OF GB AND NI,'AT252870048000011115416',Travel-Rail Services
12/10/2025,MCDONALDS (1002)        HAVERFORDWEST,18.22,GOODS,MCDONALDS (1002)        HAVERFORDWEST,CARADOCS WELL ROAD MERLINS BRIDGE,HAVERFORDWEST,SA61 1XJ,UNITED KINGDOM OF GB AND NI,'AT252860065000011148395',Entertainment-Bars & Cafés
11/10/2025,EUROPCAR MOBILITY GROUP PARIS,81.41,,EUROPCAR MOBILITY GROUP PARIS,1 GREAT CENTRAL SQUARE,LEICESTER,LE1 4JS,UNITED KINGDOM OF GB AND NI,'AT252850028000011397973',Travel-Vehicle Rental
11/10/2025,NANDOS.CO.UK            LONDON,61.60,,NANDOS.CO.UK            LONDON,"99 UPPER RICHMOND ROAD
ERICO HOUSE 93",LONDON,SW15,UNITED KINGDOM OF GB AND NI,'AT252840037000011346496',Entertainment-Restaurants
11/10/2025,TRAINLINE Trainline     LONDON,89.85,,TRAINLINE Trainline     LONDON,120 HOLBORN,LONDON,EC1N 2TD,UNITED KINGDOM OF GB AND NI,'AT252850028000011364735',Travel-Rail Services
11/10/2025,X CORP. PAID FEATURES   BASTROP,8.00,,X CORP. PAID FEATURES   BASTROP,"865 FM1209
BUILDING 2",BASTROP,78602,UNITED STATES,'AT252840037000011337363',General Purchases-Online Purchases
10/10/2025,PAYMENT RECEIVED - THANK YOU,-3068.98,,PAYMENT RECEIVED - THANK YOU,,,,,'10000000011006999901720',
10/10/2025,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.60,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT252840037000011353438',Travel-Other Travel
10/10/2025,UNIQLO EUROPE LTD       LONDON,69.90,,UNIQLO EUROPE LTD       LONDON,103-113 REGENT STREET LONDON,LONDON,W1B 4HL,UNITED KINGDOM OF GB AND NI,'AT252840037000011356459',General Purchases-Clothing Stores
09/10/2025,BALMORAL HOUSE HOTEL    LONDON,159.00,,BALMORAL HOUSE HOTEL    LONDON,156 SUSSEX GARDENS,LONDON,W2 1UD,UNITED KINGDOM OF GB AND NI,'AT252830046000011285065',Travel-Lodging
09/10/2025,BEOGRAD ART HOTEL-RE    BEOGRAD,348.55,"Foreign Spend Amount: 45,509.48 SERBIAN DINAR Commission Amount: 10.12 Currency Exchange Rate: 134.4723",BEOGRAD ART HOTEL-RE    BEOGRAD,KNEZ MIHAILOVA 27 II,BEOGRAD,11000,,'AT252830046000011266592',Travel-Lodging
08/10/2025,HADESTOWN TICKETS       LONDON,255.00,,HADESTOWN TICKETS       LONDON,11 MAIDEN LANE,LONDON,WC2E,UNITED KINGDOM OF GB AND NI,'AT252820046000011221213',Entertainment-General Events
08/10/2025,TRAINLINE Trainline     LONDON,73.69,,TRAINLINE Trainline     LONDON,120 HOLBORN,LONDON,EC1N 2TD,UNITED KINGDOM OF GB AND NI,'AT252820046000011215829',Travel-Rail Services
07/10/2025,BALMORAL HOUSE HOTEL    LONDON,132.00,,BALMORAL HOUSE HOTEL    LONDON,156 SUSSEX GARDENS,LONDON,W2 1UD,UNITED KINGDOM OF GB AND NI,'AT252810036000011188530',Travel-Lodging
07/10/2025,TELLO US TELLO US       ATLANTA,5.19,Foreign Spend Amount: 6.76 UNITED STATES DOLLAR Commission Amount: 0.15 Currency Exchange Rate: 1.3412,TELLO US TELLO US       ATLANTA,4780 ASHFORD DUNWOODY RD,ATLANTA,30338,UNITED STATES,'AT252810036000011188292',General Purchases-Online Purchases
06/10/2025,BEOGRAD ART HOTEL-RE    BEOGRAD,100.22,"Foreign Spend Amount: 13,072.62 SERBIAN DINAR Commission Amount: 2.91 Currency Exchange Rate: 134.3399",BEOGRAD ART HOTEL-RE    BEOGRAD,KNEZ MIHAILOVA 27 II,BEOGRAD,11000,,'AT252800038000011127567',Travel-Lodging
06/10/2025,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,20.00,,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,"3180 18TH ST
STE 100",SAN FRANCISCO,94110,UNITED STATES,'AT252790046000011159448',General Purchases-Computer Supplies
05/10/2025,BRITISH AIRWAYS GB DIRE WEST DRAYTON,74.50,"ROUTING:    FROM:     ZURICH
TO:       LONDON HEATHROW APCARRIER:        BA  CLASS:          U
TICKET NUMBER:  1252219759069           PASSENGER NAME: MR PHILLIP LINDLEY",BRITISH AIRWAYS GB DIRE WEST DRAYTON,"WATERSIDE HDA1
HARMONSWORTH",WEST DRAYTON,UB7 0GB,UNITED KINGDOM OF GB AND NI,'AT252800038000011095641',Travel-Airline
05/10/2025,EXPEDIA 73263928469661  EXPEDIA.CO.UK,118.98,,EXPEDIA 73263928469661  EXPEDIA.CO.UK,"CALLE VILLALBA HERVAS 9 PLANTA 8
EFICICIO CAMACHO",LONDON,AA00 0AA,UNITED KINGDOM OF GB AND NI,'AT252790046000011165896',Travel-Travel Agencies
05/10/2025,PADDLE.NET* MAGICPAGES  LONDON,13.80,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT252780037000011431938',General Purchases-Computer Supplies
05/10/2025,PAYMENT RECEIVED - THANK YOU,-1480.00,,PAYMENT RECEIVED - THANK YOU,,,,,'AT252780066000010075280',
05/10/2025,SWISS Intl Air Lines    LONDON,201.30,"ROUTING:    FROM:     BELGRADE
TO:       ZURICH            CARRIER:        LX  CLASS:          V
TICKET NUMBER:  72427213500450          PASSENGER NAME: LINDLEY/PHILLIPADAMDROZD",SWISS Intl Air Lines    LONDON,5 CHURCHILL PLACE,LONDON,E14 5HU,UNITED KINGDOM OF GB AND NI,'AT252790046000011168168',Travel-Travel Agencies
03/10/2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,150.00,,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,731 SANSOME ST,SAN FRANCISCO,94111,UNITED STATES,'AT252760043000011233141',General Purchases-Computer Supplies
02/10/2025,Air Serbia AX / DE / EU GERMANY,16.21,"ROUTING:    FROM:     PORTO
TO:       BELGRADE          CARRIER:        JU  CLASS:          X
TICKET NUMBER:  44023227520             PASSENGER NAME: LINDLEY PHILLIP
Foreign Spend Amount: 18,00 EUROPEAN UNION EURO Commission Amount: 0.47 Currency Exchange Rate: 1.1435",Air Serbia AX / DE / EU GERMANY,SUBMISSIONS EUR,GERMANY,00000,GERMANY,'AT252760043000011189154',Travel-Airline
02/10/2025,Air Serbia AX / DE / EU GERMANY,151.29,"ROUTING:    FROM:     PORTO
TO:       BELGRADE          CARRIER:        JU  CLASS:          L
TICKET NUMBER:  21286464015             PASSENGER NAME: LINDLEY PHILLIP
Foreign Spend Amount: 167,97 EUROPEAN UNION EURO Commission Amount: 4.39 Currency Exchange Rate: 1.1434",Air Serbia AX / DE / EU GERMANY,SUBMISSIONS EUR,GERMANY,00000,GERMANY,'AT252760043000011189155',Travel-Airline
01/10/2025,EXPEDIA 72066755296773  EXPEDIA.CO.UK,513.34,,EXPEDIA 72066755296773  EXPEDIA.CO.UK,"CALLE VILLALBA HERVAS 9 PLANTA 8
EFICICIO CAMACHO",LONDON,AA00 0AA,UNITED KINGDOM OF GB AND NI,'AT252750047000011193869',Travel-Travel Agencies
01/10/2025,GOOGLE                  DUBLIN,7.00,,GOOGLE                  DUBLIN,70 SIR JOHN ROGERSONS QUAY,DUBLIN,DUBLIN 2,IRELAND,'AT252750047000011207998',General Purchases-Computer Supplies
30/09/2025,EXPEDIA 72066717423765  EXPEDIA.CO.UK,100.56,,EXPEDIA 72066717423765  EXPEDIA.CO.UK,"CALLE VILLALBA HERVAS 9 PLANTA 8
EFICICIO CAMACHO",LONDON,AA00 0AA,UNITED KINGDOM OF GB AND NI,'AT252740046000011229610',Travel-Travel Agencies
28/09/2025,BA INFLIGHT SALES IAG C HARMONDSWORTH,7.99,,BA INFLIGHT SALES IAG C HARMONDSWORTH,SUBMISSIONS GBP,UK,A0,UNITED KINGDOM OF GB AND NI,'AT252720047000011116401',Travel-Travel Related
28/09/2025,BOOTS THE CHEMIST       HOUNSLOW,9.70,MERCHANDISE,BOOTS THE CHEMIST       HOUNSLOW,"UNIT 1213 LOWER LEVEL
TERMINAL 5 AIRSIDE
LONDON HEATHROW AIRPORT",HOUNSLOW,TW6 2RQ,UNITED KINGDOM OF GB AND NI,'AT252710045000011581604',General Purchases-Pharmacies
28/09/2025,BRITISH AIRWAYS GB DIRE WEST DRAYTON,94.50,"ROUTING:    FROM:     LONDON HEATHROW AP
TO:       ROME LEONARDO DA VCARRIER:        BA  CLASS:          U
TICKET NUMBER:  1252219193065           PASSENGER NAME: MR PHILLIP LINDLEY",BRITISH AIRWAYS GB DIRE WEST DRAYTON,"WATERSIDE HDA1
HARMONSWORTH",WEST DRAYTON,UB7 0GB,UNITED KINGDOM OF GB AND NI,'AT252730044000011114153',Travel-Airline
27/09/2025,ECSI LTD (SERPENTINE)   LONDON,16.50,,ECSI LTD (SERPENTINE)   LONDON,"SERPENTINE GALLERIES
KENSINGTON GARDEN",LONDON,W2 3XA,UNITED KINGDOM OF GB AND NI,'AT252710045000011630829',Entertainment-Restaurants
27/09/2025,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.60,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT252710045000011641632',Travel-Other Travel
27/09/2025,UBER TRIP               HTTPS://HELP.UB,11.11,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT252710045000011646419',Travel-Taxis & Coach
26/09/2025,EXPEDIA 72066587005359  EXPEDIA.CO.UK,272.01,,EXPEDIA 72066587005359  EXPEDIA.CO.UK,"CALLE VILLALBA HERVAS 9 PLANTA 8
EFICICIO CAMACHO",LONDON,AA00 0AA,UNITED KINGDOM OF GB AND NI,'AT252690075000010123939',Travel-Travel Agencies
26/09/2025,PICCADILLY THEATRE      LONDON,33.60,,PICCADILLY THEATRE      LONDON,16 DENMAN STREET,LONDON,W1D 7DY,UNITED KINGDOM OF GB AND NI,'AT252700023000011171206',Entertainment-Other Entertainment
26/09/2025,TESCO STORE 2377 2377TE LONDON,18.15,,TESCO STORE 2377 2377TE LONDON,DEAN ST METRO,LONDON,W1D 3RF,UNITED KINGDOM OF GB AND NI,'AT252700023000011172771',General Purchases-Groceries
26/09/2025,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.55,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT252700023000011197736',Travel-Other Travel
23/09/2025,AVIS BUDGET SCHIPHOL    SCHIPHOL,17.15,"Foreign Spend Amount: 19,06 EUROPEAN UNION EURO Commission Amount: 0.50 Currency Exchange Rate: 1.1447",AVIS BUDGET SCHIPHOL    SCHIPHOL,"AANKOMSTPASSAGE
5",AMSTERDAM,1118 AX,NETHERLANDS,'AT252670046000011145386',Travel-Vehicle Rental
21/09/2025,NS REIZIGERS B.V. 528   AMSTERDAM,6.65,"Foreign Spend Amount: 7,40 EUROPEAN UNION EURO Commission Amount: 0.19 Currency Exchange Rate: 1.1455",NS REIZIGERS B.V. 528   AMSTERDAM,"LAAN VAN PUNTENBURG
100",UTRECHT,3511 ER,NETHERLANDS,'AT252650046000011132952',Travel-Rail Services
20/09/2025,3CPAYMENT*HYATT PLACE A ROTTERDAM,81.66,"Foreign Spend Amount: 90,80 EUROPEAN UNION EURO Commission Amount: 2.37 Currency Exchange Rate: 1.1451",3CPAYMENT*HYATT PLACE A ROTTERDAM,"RIJNLANDERWEG
800",HOOFDDORP,2132 NN,NETHERLANDS,'AT252640037000011423711',Travel-Lodging
20/09/2025,3CPAYMENT*HYATT PLACE A ROTTERDAM,81.66,"Foreign Spend Amount: 90,80 EUROPEAN UNION EURO Commission Amount: 2.37 Currency Exchange Rate: 1.1451",3CPAYMENT*HYATT PLACE A ROTTERDAM,"RIJNLANDERWEG
800",HOOFDDORP,2132 NN,NETHERLANDS,'AT252640037000011423712',Travel-Lodging
19/09/2025,LIFEMILES COM CUR AX    SAN JOSE,9.18,"TICKET NUMBER:  :                       PASSENGER NAME:
Foreign Spend Amount: 12.00 UNITED STATES DOLLAR Commission Amount: 0.27 Currency Exchange Rate: 1.3468",LIFEMILES COM CUR AX    SAN JOSE,"""CASA MATRIZ,SAN JOSE.SAN JOSE""",SAN JOSE,,COSTA RICA,'AT252650046000011119508',Travel-Airline
19/09/2025,PRIME VIDEO RENT / BUY  AMZN.UK/BILL,3.49,,PRIME VIDEO RENT / BUY  AMZN.UK/BILL,"1 PRINCIPAL PLACE
WORSHIP STREET",LONDON,EC2A 2FA,UNITED KINGDOM OF GB AND NI,'AT252630037000011335265',General Purchases-Online Purchases
18/09/2025,BOOTS THE CHEMIST       LONDON,5.25,MERCHANDISE,BOOTS THE CHEMIST       LONDON,TERMINAL 5,LONDON,TW6 2GA,UNITED KINGDOM OF GB AND NI,'AT252610046000011154318',General Purchases-Pharmacies
18/09/2025,DELIVEROO,-5.00,DeliverooGoldBenefit,DELIVEROO,"THE RIVER BUILDING - LEVEL 1 CANNON
BRIDGE HOUSE 1 COUSIN LANE",LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT252610046000011167387',Entertainment-Restaurants
18/09/2025,EUROSTAR INTERNATIONAL  LONDON,82.50,,EUROSTAR INTERNATIONAL  LONDON,TIMES HOUSE 5 BRAVINGTONS WALK,LONDON,N1 9AW,UNITED KINGDOM OF GB AND NI,'AT252610046000011139564',Travel-Travel Agencies
18/09/2025,PADDLE.NET* MAGICPAGES  LONDON,5.52,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT252610046000011145415',General Purchases-Computer Supplies
17/09/2025,AMZNMKTPLACE*Q36V47TP5  AMAZON.CO.UK,9.98,,AMZNMKTPLACE*Q36V47TP5  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252610046000011150322',General Purchases-Online Purchases
17/09/2025,BALMORAL HOUSE HOTEL    LONDON,89.00,,BALMORAL HOUSE HOTEL    LONDON,156 SUSSEX GARDENS,LONDON,W2 1UD,UNITED KINGDOM OF GB AND NI,'AT252610046000011163124',Travel-Lodging
17/09/2025,DELIVEROO               LONDON,17.22,,DELIVEROO               LONDON,"THE RIVER BUILDING - LEVEL 1 CANNON
BRIDGE HOUSE 1 COUSIN LANE",LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT252610046000011133896',Entertainment-Restaurants
